Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,838.000704535831,2229.67953873833,2289.37198611713,2217.29678631971,2338.77869693875,2436.0063198102,2589.410395542,2568.34190916779,2138.87024713086,2092.87995224662,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,2549.25645432487,3861.30856837761,11258.4572796244,11658.0457494095,12078.3488244026,12769.7625847853,13497.2493226353,14617.7849093704,14436.4850442823,16261.804554188,19492.7830985692,21395.3250372633
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,7559.80484286088,9225.40608014391,14862.7932745547,13973.6882681386,13608.2010371415,13674.8741291965,13916.3760986686,14084.1995307289,12848.7626134738,14690.9162300571,16028.287108716,17026.9616747867
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,24456.9039014423,33249.5649054739,49938.6709928819,51035.8875990701,52847.3008681902,53031.6619118219,55354.3891037228,57573.6930490229,51881.2896726873,58829.8500720505,68311.7729810483,71587.4817760577
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,3283.4719063483,3286.35849348127,7999.82685137622,7127.3395733001,6850.38462458694,6998.79618747166,7353.34998821375,7533.51185400503,6455.119982133,7414.27895783202,7928.6414975388,8040.54360062078
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,12881.7085613412,19191.8560253754,21558.9997705071,20865.2339089624,21181.6274149752,21217.6292614592,24336.8548617152,26316.833216636,22159.4122861666,25493.1295548691,29711.5633165812,31802.3771965018
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,7184.24255355742,11544.408971054,19649.3528905429,20058.3386388829,20248.7213872191,23514.6670870249,24498.378926706,23535.01275094,22302.1504890016,26086.8023552274,29037.4891215021,29362.6924187322
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,2756.82609874695,2572.73793698691,10153.5556108742,10183.9279276811,11036.7222919191,12605.337955959,13478.7627947124,15729.1496950576,15523.4653938859,16899.0709181676,20445.098880893,23054.6005230691
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,20754.2314588017,30750.4753409995,36763.2090049195,37231.9184954158,37444.4410939295,38697.9495072882,40379.2937237331,40124.7579975465,30437.2025162434,38226.146156979,45236.0212143789,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,17380.8816876752,26541.6653208437,46914.3867078836,46292.0954391179,47289.2859136343,48418.558421681,50251.3353381469,52746.7182896307,54064.0794661947,57406.1787604549,65365.948511045,69114.7378945066
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,19459.1853817091,29379.7422969788,48799.7154676985,49865.9039424185,52684.0171130768,54172.9867888254,56937.944282984,60574.6271030491,58610.8343636691,63421.2035870778,70975.7206346934,73751.35270638
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,5253.928344414,3382.08308668081,17563.6122454385,15075.2726347911,14535.8020210633,14315.929643106,15282.9995232298,16675.3179361558,15163.5703327282,20111.3756952109,22533.4940568508,23685.5386398553
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,20544.6029580482,25757.8177836368,30771.7047152655,31094.5530793958,31277.8074380874,32982.3139347633,33876.1569503309,34541.7074946553,25459.2185150648,28510.9094889073,33637.5047981819,35554.7994806397
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,25733.5244425959,39365.2842697284,52272.91246307,46246.3956496833,45591.3982044197,49234.3134430285,50198.6409351387,53712.1485212388,51439.203757741,54351.8360757233,60652.8505008149,63847.8297282665
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,980.037863715272,1574.52564660474,4023.54114557771,4253.68769851408,4608.57465239377,4894.44219729247,5484.7635465215,6025.08734934947,6596.04459830619,7366.48997079065,8354.71586776861,9065.69893428451
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,9655.99146889207,13033.8200737761,15636.4318232943,16006.9481094988,16438.835856606,16279.2465280439,16960.2477429223,17459.1512630062,14687.1070358881,14752.3736972313,17892.1892571507,19357.1694428676
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belarus,BLR,5226.61888446068,5802.47334124907,19037.8209530599,18133.5696288889,17832.4778855815,18413.7127377197,20026.0306698699,22301.5766886376,24872.3398993711,27611.1801135156,28406.0661481964,30751.4954188551
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belgium,BEL,18675.3121947985,27788.0908832256,44929.685593416,46200.904454307,48597.3999826201,50442.2705419624,52530.5620821347,56621.5417607532,55730.9528944011,62123.1613172906,68274.2006418035,70455.9584257956
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belize,BLZ,4461.14526139587,7525.90520715514,9340.36211596258,9451.56357394725,9336.41993712102,9086.91190946349,9479.91147437112,10436.3335268005,9540.67114968834,11559.8905984688,13280.5983941845,14195.3136207765
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Benin,BEN,1220.32647439637,1724.75930486217,2774.85895261323,2832.0041744077,2952.51368290359,2996.13599047432,3075.23586752195,3260.76853616447,3354.17997077466,3575.31148668734,3957.96121240461,4248.31081739622
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bermuda,BMU,34873.9453687725,53928.4209146652,70210.3204527187,73879.4858462324,79035.7317939765,85285.2492109229,85861.1911426784,91263.4855956569,85795.3586036336,93555.5174506069,106866.340814807,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bhutan,BTN,1696.84532704783,3106.57937544221,9141.57706299116,10024.2956119085,11078.9238064299,11649.8320381412,11932.8563344735,12864.7780099884,12434.674518468,13423.4288725475,15021.728993413,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bolivia,BOL,2294.9393380356,3364.43906775397,7003.24183911139,7103.43175633083,7492.28470943237,8442.58529533443,8876.58471942896,9091.92768943853,8210.7029098091,9342.97184427306,10238.812087808,10726.9988078303
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,1031.95485739405,4127.61381175111,11147.5624946393,11825.2094205044,12869.3020733423,13580.8855537693,14800.2103189103,16354.0001369123,16275.2381823462,18396.4690929752,20998.5226347685,22845.5185486781
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Botswana,BWA,5818.58154027491,8923.46988866842,14417.0132080037,13518.4848638657,15416.5845163403,14817.5712768034,14805.2916256042,14889.8073026521,14208.2701553477,16663.8685441919,18516.1913372997,19383.17259582
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brazil,BRA,6618.55156275763,8995.8518938603,15564.8009999636,14567.7060619891,14057.3132470451,14293.6046394285,15165.0631526578,15741.4785048749,15759.0782300803,17672.9168034655,19398.5898133446,20584.4191661579
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brunei Darussalam,BRN,55173.3097606057,66220.7722204031,81243.8989995442,62823.1166176378,56889.4103441758,62015.4331166776,65679.4310760955,70087.0385001719,70685.1863107895,79364.0945618203,82893.4043199124,86445.6605268602
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bulgaria,BGR,7545.5330564159,6422.79933249027,17615.1088943583,18384.753572458,20064.9079467146,21455.8754961753,23004.3195450884,25526.2811018212,25735.0008544154,29404.9605099327,35463.5549883044,38689.5480749166
